Income,Kidhome,Teenhome,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,Age,NumOfDayEnrolled,Married,Together,Single,Divorced,Widow,Other,Basic,Graduation,Master,PhD
58138.0,0.0,0.0,635.0,88.0,546.0,172.0,88.0,88.0,60.0,1580.0,0,0,1,0,0,0,0,1,0,0
46344.0,1.0,1.0,11.0,1.0,6.0,2.0,1.0,6.0,63.0,1030.0,0,0,1,0,0,0,0,1,0,0
71613.0,0.0,0.0,426.0,49.0,127.0,111.0,21.0,42.0,52.0,1229.0,0,1,0,0,0,0,0,1,0,0
26646.0,1.0,0.0,11.0,4.0,20.0,10.0,3.0,5.0,33.0,1056.0,0,1,0,0,0,0,0,1,0,0
58293.0,1.0,0.0,173.0,43.0,118.0,46.0,27.0,15.0,36.0,1078.0,1,0,0,0,0,0,0,0,0,1
62513.0,0.0,1.0,520.0,42.0,98.0,0.0,42.0,14.0,50.0,1210.0,0,1,0,0,0,0,0,0,1,0
55635.0,0.0,1.0,235.0,65.0,164.0,50.0,49.0,27.0,46.0,1510.0,0,0,0,1,0,0,0,1,0,0
33454.0,1.0,0.0,76.0,10.0,56.0,3.0,1.0,23.0,32.0,1334.0,1,0,0,0,0,0,0,0,0,1
30351.0,1.0,0.0,14.0,0.0,24.0,3.0,3.0,2.0,43.0,1305.0,0,1,0,0,0,0,0,0,0,1
5648.0,1.0,1.0,28.0,0.0,6.0,1.0,1.0,13.0,67.0,1025.0,0,1,0,0,0,0,0,0,0,1
7500.0,0.0,0.0,6.0,16.0,11.0,11.0,1.0,16.0,41.0,1510.0,1,0,0,0,0,0,1,0,0,0
63033.0,0.0,0.0,194.0,61.0,480.0,225.0,112.0,30.0,58.0,1143.0,0,0,0,1,0,0,0,1,0,0
59354.0,1.0,1.0,233.0,2.0,53.0,3.0,5.0,14.0,65.0,1143.0,0,0,0,1,0,0,0,0,1,0
17323.0,0.0,0.0,3.0,14.0,17.0,6.0,1.0,5.0,30.0,1544.0,1,0,0,0,0,0,0,1,0,0
82800.0,0.0,0.0,1006.0,22.0,115.0,59.0,68.0,45.0,71.0,1499.0,0,0,1,0,0,0,0,0,0,1
41850.0,1.0,1.0,53.0,5.0,19.0,2.0,13.0,4.0,37.0,1469.0,1,0,0,0,0,0,0,1,0,0
37760.0,0.0,0.0,84.0,5.0,38.0,150.0,12.0,28.0,71.0,1584.0,0,1,0,0,0,0,0,1,0,0
76995.0,0.0,1.0,1012.0,80.0,498.0,0.0,16.0,176.0,68.0,1375.0,1,0,0,0,0,0,0,0,1,0
33812.0,1.0,0.0,4.0,17.0,19.0,30.0,24.0,39.0,32.0,1520.0,0,0,1,0,0,0,0,0,1,0
37040.0,0.0,0.0,86.0,2.0,73.0,69.0,38.0,48.0,35.0,1607.0,1,0,0,0,0,0,0,1,0,0
,,,,,,,,,68.0,1470.0,1,0,0,0,0,0,0,0,0,1
58607.0,0.0,1.0,867.0,0.0,86.0,0.0,0.0,19.0,63.0,1086.0,1,0,0,0,0,0,0,0,0,1
65324.0,0.0,1.0,384.0,0.0,102.0,21.0,32.0,5.0,66.0,1385.0,0,1,0,0,0,0,0,1,0,0
40689.0,0.0,1.0,270.0,3.0,27.0,39.0,6.0,99.0,48.0,1460.0,0,0,1,0,0,0,0,1,0,0
18589.0,0.0,0.0,6.0,4.0,25.0,15.0,12.0,13.0,41.0,1315.0,1,0,0,0,0,0,0,1,0,0
53359.0,1.0,1.0,173.0,4.0,30.0,3.0,6.0,41.0,28.0,1311.0,1,0,0,0,0,0,0,1,0,0
38360.0,1.0,0.0,36.0,2.0,42.0,20.0,21.0,10.0,52.0,1136.0,1,0,0,0,0,0,0,0,0,1
84618.0,0.0,0.0,684.0,100.0,801.0,21.0,66.0,0.0,28.0,955.0,0,0,0,1,0,0,0,0,1,0
10979.0,0.0,0.0,8.0,4.0,10.0,2.0,2.0,4.0,54.0,1331.0,0,1,0,0,0,0,0,0,1,0
38620.0,0.0,0.0,112.0,17.0,44.0,34.0,22.0,89.0,47.0,1544.0,0,1,0,0,0,0,0,1,0,0
40548.0,0.0,1.0,110.0,0.0,5.0,2.0,0.0,3.0,65.0,1525.0,0,0,0,1,0,0,0,0,0,1
46610.0,0.0,2.0,96.0,12.0,96.0,33.0,22.0,43.0,71.0,1411.0,1,0,0,0,0,0,0,0,1,0
68657.0,0.0,0.0,482.0,34.0,471.0,119.0,68.0,22.0,66.0,1221.0,0,0,1,0,0,0,0,0,1,0
49389.0,1.0,1.0,40.0,0.0,19.0,2.0,1.0,3.0,47.0,1097.0,1,0,0,0,0,0,0,0,0,1
67353.0,0.0,1.0,702.0,17.0,151.0,0.0,8.0,35.0,41.0,1217.0,1,0,0,0,0,0,0,0,1,0
23718.0,1.0,0.0,6.0,3.0,14.0,15.0,7.0,36.0,44.0,1055.0,0,0,0,0,1,0,0,1,0,0
42429.0,0.0,1.0,55.0,0.0,6.0,2.0,0.0,4.0,74.0,1430.0,0,0,0,1,0,0,0,0,0,1
48948.0,0.0,0.0,437.0,8.0,206.0,160.0,49.0,42.0,37.0,1343.0,1,0,0,0,0,0,0,1,0,0
80011.0,0.0,1.0,421.0,76.0,536.0,82.0,178.0,102.0,32.0,1391.0,1,0,0,0,0,0,0,0,1,0
20559.0,1.0,0.0,13.0,1.0,29.0,3.0,0.0,7.0,60.0,1469.0,0,1,0,0,0,0,0,1,0,0
21994.0,0.0,1.0,9.0,0.0,6.0,3.0,1.0,3.0,42.0,1187.0,1,0,0,0,0,0,0,0,1,0
7500.0,1.0,0.0,3.0,1.0,10.0,3.0,2.0,12.0,41.0,918.0,0,0,1,0,0,0,0,1,0,0
79941.0,0.0,0.0,123.0,164.0,266.0,227.0,30.0,174.0,21.0,1514.0,1,0,0,0,0,0,0,0,1,0
7500.0,0.0,0.0,3.0,18.0,14.0,15.0,22.0,50.0,49.0,1318.0,0,1,0,0,0,0,0,1,0,0
41728.0,1.0,0.0,13.0,6.0,15.0,3.0,5.0,13.0,63.0,1515.0,1,0,0,0,0,0,0,0,0,1
72550.0,1.0,1.0,826.0,50.0,317.0,50.0,38.0,38.0,60.0,965.0,0,0,0,0,1,0,0,1,0,0
65486.0,0.0,1.0,245.0,19.0,125.0,37.0,67.0,14.0,53.0,1604.0,1,0,0,0,0,0,0,0,1,0
79143.0,0.0,0.0,650.0,37.0,780.0,27.0,167.0,32.0,40.0,1460.0,0,0,1,0,0,0,0,1,0,0
35790.0,1.0,0.0,12.0,6.0,20.0,30.0,1.0,3.0,40.0,939.0,0,0,0,1,0,0,0,1,0,0
82582.0,0.0,0.0,510.0,120.0,550.0,156.0,40.0,241.0,39.0,1299.0,1,0,0,0,0,0,0,1,0,0
66373.0,1.0,1.0,328.0,9.0,124.0,12.0,24.0,109.0,62.0,1504.0,0,1,0,0,0,0,0,0,1,0
82384.0,0.0,0.0,984.0,51.0,432.0,180.0,120.0,190.0,51.0,1370.0,0,0,0,1,0,0,0,1,0,0
70287.0,0.0,0.0,295.0,35.0,482.0,121.0,120.0,40.0,29.0,979.0,0,0,1,0,0,0,0,1,0,0
27938.0,1.0,0.0,13.0,0.0,8.0,2.0,1.0,5.0,49.0,1035.0,1,0,0,0,0,0,0,0,0,1
55954.0,0.0,1.0,447.0,0.0,28.0,0.0,0.0,43.0,35.0,1277.0,0,0,1,0,0,0,0,0,1,0
75777.0,0.0,0.0,712.0,26.0,538.0,69.0,13.0,80.0,42.0,1577.0,0,1,0,0,0,0,0,1,0,0
66653.0,1.0,1.0,452.0,18.0,102.0,16.0,18.0,6.0,65.0,1413.0,0,0,1,0,0,0,0,1,0,0
